genus	pangenome_pct_phaC	pangenome_n_species	nmdc_mean_abundance	phb_group
treponema	0.0	7	2.0093902975148158e-17	PHB-low (<50%)
jonquetella	0.0	1	2.232655886127573e-18	PHB-low (<50%)
granulosicoccus	0.5	2	2.2326558861275734e-17	PHB-high (>=50%)
simiduia	1.0	1	1.339593531676544e-17	PHB-high (>=50%)
blattabacterium	0.0	5	1.67449191459568e-17	PHB-low (<50%)
ferrimonas	0.75	4	1.339593531676544e-17	PHB-high (>=50%)
hydrogenivirga	0.0	3	6.69796765838272e-18	PHB-low (<50%)
providencia	0.0	12	1.339593531676544e-17	PHB-low (<50%)
acaryochloris	0.0	3	3.572249417804117e-17	PHB-low (<50%)
thermococcus_a	0.0	6	1.339593531676544e-17	PHB-low (<50%)
carboxydocella	0.0	1	1.2279607373701653e-17	PHB-low (<50%)
dickeya	0.0	10	7.814295601446506e-18	PHB-low (<50%)
fictibacillus	0.0	5	6.69796765838272e-18	PHB-low (<50%)
alteromonas	0.3157894736842105	19	2.009390297514816e-17	PHB-low (<50%)
leptospira	0.0	17	1.5628591202893013e-17	PHB-low (<50%)
planktophila	0.025	40	1.507042723136112e-17	PHB-low (<50%)
sphaerochaeta	0.0	8	4.465311772255146e-18	PHB-low (<50%)
helicobacter_a	0.0	7	2.232655886127573e-18	PHB-low (<50%)
flexilinea	0.0	4	8.930623544510293e-18	PHB-low (<50%)
xylella	0.0	2	4.465311772255146e-18	PHB-low (<50%)
robiginitalea	0.0	1	3.34898382919136e-18	PHB-low (<50%)
methanomassiliicoccus_a	0.0	2	7.814295601446506e-18	PHB-low (<50%)
morganella	0.0	5	4.465311772255146e-18	PHB-low (<50%)
roseovarius	1.0	20	4.0187805950296316e-17	PHB-high (>=50%)
christensenella	0.0	4	4.856026552327472e-17	PHB-low (<50%)
proteiniphilum	0.0	12	1.0046951487574079e-17	PHB-low (<50%)
protochlamydia	0.0	2	4.465311772255146e-18	PHB-low (<50%)
rufibacter	0.0	5	1.6744919145956797e-17	PHB-low (<50%)
methanobacterium	0.0	4	1.7303083117488693e-17	PHB-low (<50%)
bacillus	0.03333333333333333	30	2.4559214747403307e-17	PHB-low (<50%)
ruegeria	1.0	19	3.572249417804117e-17	PHB-high (>=50%)
rhodoluna	0.0	20	2.2326558861275734e-17	PHB-low (<50%)
aurantimicrobium	0.0	1	8.930623544510293e-18	PHB-low (<50%)
aliarcobacter	0.0	21	2.5954624676233036e-17	PHB-low (<50%)
methylopumilus	0.0	8	1.67449191459568e-17	PHB-low (<50%)
cellvibrio	0.0	4	2.679187063353088e-17	PHB-low (<50%)
prevotella	0.00558659217877095	358	5.693272509625312e-17	PHB-low (<50%)
parachlamydia	0.0	1	7.814295601446506e-18	PHB-low (<50%)
methanocella	0.0	1	1.1163279430637866e-18	PHB-low (<50%)
dermabacter	0.0	2	1.7861247089020585e-17	PHB-low (<50%)
leptospirillum	0.0	1	7.814295601446506e-18	PHB-low (<50%)
syntrophomonas	1.0	1	4.465311772255146e-18	PHB-high (>=50%)
desulfosporosinus	0.0	6	1.339593531676544e-17	PHB-low (<50%)
desulfurella	0.0	1	9.488787516042187e-18	PHB-low (<50%)
dehalobacterium	0.0	1	1.339593531676544e-17	PHB-low (<50%)
gwf2-33-9	0.0	1	6.69796765838272e-18	PHB-low (<50%)
caldanaerobacter	0.0	1	2.232655886127573e-18	PHB-low (<50%)
halioglobus	0.8	10	3.1257182405786025e-17	PHB-high (>=50%)
pseudohongiella	0.0	6	2.232655886127573e-18	PHB-low (<50%)
desulfofervidus	0.0	1	4.465311772255146e-18	PHB-low (<50%)
sedimentisphaera	0.0	1	1.7861247089020585e-17	PHB-low (<50%)
megasphaera	0.05263157894736842	19	2.232655886127573e-18	PHB-low (<50%)
anaerobutyricum	0.0	10	1.67449191459568e-17	PHB-low (<50%)
anaerostipes	0.0	10	1.67449191459568e-17	PHB-low (<50%)
pectobacterium	0.0	16	6.69796765838272e-18	PHB-low (<50%)
parabacteroides	0.0	32	4.465311772255146e-18	PHB-low (<50%)
mariniflexile	0.0	2	3.34898382919136e-17	PHB-low (<50%)
acetatifactor	0.022222222222222223	45	1.1163279430637867e-17	PHB-low (<50%)
tatlockia	1.0	12	1.5628591202893013e-17	PHB-high (>=50%)
piscirickettsia	1.0	1	3.34898382919136e-18	PHB-high (>=50%)
hungateiclostridium	0.0	4	1.7861247089020585e-17	PHB-low (<50%)
beggiatoa	1.0	1	4.465311772255146e-18	PHB-high (>=50%)
coxiella	0.0	4	3.34898382919136e-18	PHB-low (<50%)
advenella	1.0	5	2.679187063353088e-17	PHB-high (>=50%)
microbulbifer	0.0	8	1.1163279430637867e-17	PHB-low (<50%)
novibacillus	0.0	1	1.1163279430637866e-18	PHB-low (<50%)
roseobacter	1.0	2	2.679187063353088e-17	PHB-high (>=50%)
owenweeksia	0.0	1	3.34898382919136e-18	PHB-low (<50%)
synechococcus	0.0	2	9.042256338816671e-17	PHB-low (<50%)
geobacillus	0.0	14	4.465311772255146e-18	PHB-low (<50%)
yersinia	0.0	23	4.967659346633851e-17	PHB-low (<50%)
polaribacter	0.0	22	8.205010381518831e-17	PHB-low (<50%)
lacinutrix	0.0	2	1.8977575032084373e-17	PHB-low (<50%)
kingella	0.0	1	2.232655886127573e-18	PHB-low (<50%)
rathayibacter	0.0	14	1.0605115459105973e-17	PHB-low (<50%)
paenalcaligenes	1.0	1	4.465311772255146e-18	PHB-high (>=50%)
elizabethkingia	0.0	7	6.69796765838272e-18	PHB-low (<50%)
pontimonas	0.0	6	2.0093902975148158e-17	PHB-low (<50%)
methylophilus	0.0	6	1.339593531676544e-17	PHB-low (<50%)
simonsiella	0.0	1	4.465311772255146e-18	PHB-low (<50%)
proteus	0.0	13	1.67449191459568e-18	PHB-low (<50%)
aliivibrio	0.0	6	7.814295601446506e-18	PHB-low (<50%)
nitrosomonas	0.029411764705882353	34	2.232655886127573e-18	PHB-low (<50%)
cellulophaga	0.0	4	6.028170892544448e-17	PHB-low (<50%)
taylorella	0.0	2	8.930623544510293e-18	PHB-low (<50%)
riemerella	0.0	3	8.3724595729784e-18	PHB-low (<50%)
jonesia	0.0	1	2.232655886127573e-18	PHB-low (<50%)
aequorivita	0.0	12	1.339593531676544e-17	PHB-low (<50%)
tenacibaculum	0.0	13	3.6838822121104956e-17	PHB-low (<50%)
winogradskyella	0.0	14	3.181534637731792e-17	PHB-low (<50%)
flammeovirga	0.0	2	8.3724595729784e-18	PHB-low (<50%)
formosa	0.0	1	3.34898382919136e-18	PHB-low (<50%)
nonlabens	0.0	7	2.2326558861275734e-17	PHB-low (<50%)
pseudothioglobus	0.13333333333333333	15	8.930623544510293e-18	PHB-low (<50%)
sphingobacterium	0.0	26	1.423318127406328e-17	PHB-low (<50%)
algoriphagus	0.0	11	7.814295601446506e-18	PHB-low (<50%)
wenyingzhuangia	0.0	1	1.7303083117488693e-17	PHB-low (<50%)
planktosalinus	0.0	2	1.339593531676544e-17	PHB-low (<50%)
olleya	0.0	5	3.34898382919136e-18	PHB-low (<50%)
solibacillus	0.0	3	2.846636254812656e-17	PHB-low (<50%)
cytobacillus	0.7692307692307693	13	2.7908198576594667e-18	PHB-high (>=50%)
oceanobacillus	0.0	10	1.339593531676544e-17	PHB-low (<50%)
lelliottia	0.0	4	1.1163279430637865e-17	PHB-low (<50%)
endozoicomonas	0.0	7	2.232655886127573e-18	PHB-low (<50%)
chania	0.0	3	2.232655886127573e-18	PHB-low (<50%)
salegentibacter	0.0	6	5.581639715318933e-19	PHB-low (<50%)
gramella	0.0	3	3.907147800723253e-18	PHB-low (<50%)
kaistella	0.0	17	2.344288680433952e-17	PHB-low (<50%)
planobacterium	0.0	3	2.232655886127573e-18	PHB-low (<50%)
arenibacter	0.0	5	5.581639715318933e-19	PHB-low (<50%)
gca001735715	0.0	1	1.1163279430637867e-17	PHB-low (<50%)
gillisia	0.0	3	9.488787516042187e-18	PHB-low (<50%)
capnocytophaga	0.0	14	5.86072170108488e-18	PHB-low (<50%)
maribacter	0.0	10	6.139803686850827e-18	PHB-low (<50%)
metabacillus	0.875	8	2.5675542690467095e-17	PHB-high (>=50%)
cyclobacterium	0.0	3	1.339593531676544e-17	PHB-low (<50%)
ornithobacterium	0.0	3	4.465311772255146e-18	PHB-low (<50%)
muricauda_a	0.0	1	2.232655886127573e-18	PHB-low (<50%)
echinicola	0.0	2	5.5816397153189335e-18	PHB-low (<50%)
pukyongia	0.0	1	3.34898382919136e-18	PHB-low (<50%)
methanospirillum	0.0	3	2.7908198576594667e-18	PHB-low (<50%)
methanoculleus	0.0	21	8.930623544510293e-18	PHB-low (<50%)
leptolyngbya	0.0	3	4.465311772255147e-17	PHB-low (<50%)
exiguobacterium_a	0.0	10	1.8977575032084373e-17	PHB-low (<50%)
methylovorus	0.0	1	2.232655886127573e-18	PHB-low (<50%)
sulfurimonas	0.0	20	2.1210230918211946e-17	PHB-low (<50%)
thalassolituus	1.0	1	1.1163279430637867e-17	PHB-high (>=50%)
malaciobacter	0.0	4	1.5628591202893013e-17	PHB-low (<50%)
halarcobacter	0.0	4	7.814295601446506e-18	PHB-low (<50%)
gn02-872	0.0	1	7.814295601446506e-18	PHB-low (<50%)
poseidonibacter	0.0	4	2.232655886127573e-18	PHB-low (<50%)
cacklf01	0.0	1	1.7861247089020585e-17	PHB-low (<50%)
xenorhabdus	0.0	18	1.4512263259829225e-17	PHB-low (<50%)
parageobacillus	0.0	3	7.256131629914612e-18	PHB-low (<50%)
fibrobacter	0.0	24	6.69796765838272e-18	PHB-low (<50%)
coprothermobacter	0.0	1	2.232655886127573e-18	PHB-low (<50%)
thermoanaerobacterium	0.0	3	1.3954099288297332e-17	PHB-low (<50%)
lachnoclostridium_b	0.1111111111111111	9	6.139803686850827e-18	PHB-low (<50%)
kyrpidia	1.0	2	1.1163279430637866e-18	PHB-high (>=50%)
dialister	0.1111111111111111	18	3.34898382919136e-18	PHB-low (<50%)
leuconostoc	0.0	12	2.2326558861275734e-17	PHB-low (<50%)
bacillus_j	0.0	2	3.34898382919136e-18	PHB-low (<50%)
fusobacterium_a	0.0	11	2.4559214747403307e-17	PHB-low (<50%)
lactococcus_a	0.0	6	1.088419744487192e-17	PHB-low (<50%)
teredinibacter	1.0	3	2.232655886127573e-18	PHB-high (>=50%)
zhongshania	0.5	2	8.930623544510293e-18	PHB-high (>=50%)
treponema_d	0.0	83	2.232655886127573e-18	PHB-low (<50%)
campylobacter_d	0.0	29	1.339593531676544e-17	PHB-low (<50%)
butyrivibrio	0.0	21	1.1163279430637867e-17	PHB-low (<50%)
enterococcus	0.0	16	1.2279607373701653e-17	PHB-low (<50%)
clostridium_w	0.0	2	1.0046951487574079e-17	PHB-low (<50%)
peptoclostridium	0.0	1	2.7908198576594665e-19	PHB-low (<50%)
mobiluncus	0.0	3	3.34898382919136e-18	PHB-low (<50%)
anaerotignum	0.0	9	2.2326558861275734e-17	PHB-low (<50%)
eubacterium	0.0	3	3.8513314035700636e-17	PHB-low (<50%)
cellulosilyticum	0.0	1	1.339593531676544e-17	PHB-low (<50%)
lacrimispora	0.0	13	1.507042723136112e-17	PHB-low (<50%)
faecalitalea	0.0	1	2.0931148932445998e-17	PHB-low (<50%)
thermococcus	0.0	10	1.8419411060552478e-17	PHB-low (<50%)
enterocloster	0.045454545454545456	22	7.256131629914612e-18	PHB-low (<50%)
lachnoanaerobaculum	0.0	6	1.5349509217127065e-17	PHB-low (<50%)
paenibacillus_a	0.0	15	9.488787516042187e-18	PHB-low (<50%)
turicibacter	0.0	4	2.0652066946680054e-17	PHB-low (<50%)
acutalibacter	0.0	19	1.758216510325464e-17	PHB-low (<50%)
pristimantibacillus	0.0	8	7.814295601446506e-18	PHB-low (<50%)
blautia	0.0	22	1.0605115459105973e-17	PHB-low (<50%)
faecalibacillus	0.0	5	6.69796765838272e-18	PHB-low (<50%)
helicobacter_c	0.0	6	1.5628591202893013e-17	PHB-low (<50%)
sebaldella	0.0	1	4.465311772255146e-18	PHB-low (<50%)
porphyromonas	0.0	22	2.232655886127573e-18	PHB-low (<50%)
lancefieldella	0.0	7	2.232655886127573e-18	PHB-low (<50%)
brevibacillus_b	0.0	3	1.1163279430637867e-17	PHB-low (<50%)
clostridium_b	0.0	8	1.6186755174424908e-17	PHB-low (<50%)
clostridium_h	0.14285714285714285	7	4.465311772255146e-18	PHB-low (<50%)
sporosarcina	0.16666666666666666	12	2.232655886127573e-18	PHB-low (<50%)
levilactobacillus	0.0	13	1.2279607373701652e-17	PHB-low (<50%)
ligilactobacillus	0.0	21	3.628065814957306e-18	PHB-low (<50%)
clostridium_j	0.0	7	1.1163279430637866e-18	PHB-low (<50%)
clostridium_am	0.0	4	1.3954099288297332e-17	PHB-low (<50%)
clostridium_an	0.0	1	2.232655886127573e-18	PHB-low (<50%)
fermentimonas	0.0	3	2.232655886127573e-18	PHB-low (<50%)
faecalibaculum	0.0	1	1.0046951487574079e-17	PHB-low (<50%)
turicimonas	0.0	2	1.1163279430637867e-17	PHB-low (<50%)
paenibacillus_h	0.0	1	1.8977575032084373e-17	PHB-low (<50%)
trueperella	0.0	4	1.67449191459568e-18	PHB-low (<50%)
desulfitobacterium	0.0	2	4.465311772255146e-18	PHB-low (<50%)
dehalobacter	0.3333333333333333	3	1.1163279430637867e-17	PHB-low (<50%)
treponema_f	0.42857142857142855	7	3.34898382919136e-18	PHB-low (<50%)
aerococcus	0.5	14	1.67449191459568e-17	PHB-high (>=50%)
rossellomorea	0.8333333333333334	6	6.69796765838272e-18	PHB-high (>=50%)
mageeibacillus	0.0	1	7.814295601446506e-18	PHB-low (<50%)
pseudochrobactrum	0.0	4	6.69796765838272e-18	PHB-low (<50%)
dermatophilus	0.0	2	1.5628591202893013e-17	PHB-low (<50%)
enterococcus_d	0.25	4	2.232655886127573e-18	PHB-low (<50%)
ehrlichia	0.0	6	1.1163279430637865e-17	PHB-low (<50%)
vibrio	0.8015873015873016	126	1.9535739003616266e-17	PHB-high (>=50%)
aminobacterium	0.0	3	2.232655886127573e-18	PHB-low (<50%)
methylophaga	0.0	8	4.465311772255146e-18	PHB-low (<50%)
anoxybacillus	0.0	7	2.232655886127573e-18	PHB-low (<50%)
sutcliffiella_a	1.0	3	4.465311772255146e-18	PHB-high (>=50%)
alkalihalophilus	1.0	2	2.232655886127573e-18	PHB-high (>=50%)
sutcliffiella	1.0	1	6.69796765838272e-18	PHB-high (>=50%)
citrobacter	0.1	10	5.0234757437870395e-18	PHB-low (<50%)
clostridium_a	0.0	1	1.1163279430637866e-18	PHB-low (<50%)
treponema_b	0.0	8	1.1163279430637867e-17	PHB-low (<50%)
wolbachia	0.0	16	1.3954099288297332e-17	PHB-low (<50%)
exiguobacterium	0.0	12	2.2326558861275734e-17	PHB-low (<50%)
arcanobacterium	0.0	3	1.4512263259829225e-17	PHB-low (<50%)
haematospirillum	1.0	2	1.1163279430637866e-18	PHB-high (>=50%)
psychrobacter	0.12244897959183673	49	1.5628591202893016e-17	PHB-low (<50%)
companilactobacillus	0.0	21	1.6744919145956797e-17	PHB-low (<50%)
escherichia	0.0	8	5.581639715318933e-18	PHB-low (<50%)
dichelobacter	0.0	1	8.930623544510293e-18	PHB-low (<50%)
spiroplasma	0.0	7	2.232655886127573e-18	PHB-low (<50%)
tetragenococcus	0.0	3	3.907147800723253e-18	PHB-low (<50%)
laceyella	0.0	2	8.930623544510293e-18	PHB-low (<50%)
pseudovibrio	1.0	7	8.930623544510293e-18	PHB-high (>=50%)
auritidibacter	0.0	1	5.44209872243596e-18	PHB-low (<50%)
peptoniphilus	0.0	2	6.69796765838272e-18	PHB-low (<50%)
planococcus	0.0	17	1.5628591202893013e-17	PHB-low (<50%)
leptotrichia	0.125	8	1.0605115459105973e-17	PHB-low (<50%)
parascardovia	0.0	1	4.465311772255146e-18	PHB-low (<50%)
mammaliicoccus	0.0	5	4.465311772255146e-18	PHB-low (<50%)
evansella	1.0	2	1.1163279430637866e-18	PHB-high (>=50%)
lactiplantibacillus	0.0	5	4.465311772255146e-18	PHB-low (<50%)
erysipelothrix	0.0	6	3.34898382919136e-18	PHB-low (<50%)
eubacterium_b	0.0	4	2.232655886127573e-18	PHB-low (<50%)
ka00134	1.0	1	4.465311772255146e-18	PHB-high (>=50%)
cognaticolwellia	0.16666666666666666	6	3.34898382919136e-18	PHB-low (<50%)
dokdonia	0.0	5	4.465311772255146e-18	PHB-low (<50%)
macrococcus_b	0.0	7	2.232655886127573e-18	PHB-low (<50%)
cronobacter	0.0	7	1.1163279430637867e-17	PHB-low (<50%)
kurthia	0.4	5	4.465311772255146e-18	PHB-low (<50%)
acholeplasma	0.0	3	1.1163279430637866e-18	PHB-low (<50%)
acholeplasma_c	0.0	1	6.69796765838272e-18	PHB-low (<50%)
hydrogenovibrio	0.0	6	2.232655886127573e-18	PHB-low (<50%)
campylobacter_a	0.0	35	1.1163279430637866e-18	PHB-low (<50%)
mogibacterium	0.0	2	1.1163279430637866e-18	PHB-low (<50%)
methanobrevibacter_b	0.0	2	8.930623544510293e-18	PHB-low (<50%)
jeotgalibaca	0.0	4	8.930623544510293e-18	PHB-low (<50%)
carnobacterium_a	0.0	7	1.4512263259829225e-17	PHB-low (<50%)
thauera_a	1.0	1	4.465311772255146e-18	PHB-high (>=50%)
neorickettsia	0.0	1	4.465311772255146e-18	PHB-low (<50%)
mycoplasmopsis_a	0.0	16	7.814295601446506e-18	PHB-low (<50%)
fenollaria	0.0	3	4.465311772255146e-18	PHB-low (<50%)
edwardsiella	0.0	5	4.465311772255146e-18	PHB-low (<50%)
fervidobacterium	0.0	7	5.5816397153189335e-18	PHB-low (<50%)
halorhabdus	1.0	2	3.34898382919136e-18	PHB-high (>=50%)
aneurinibacillus	1.0	5	2.232655886127573e-18	PHB-high (>=50%)
prochlorococcus	0.0	5	2.232655886127573e-18	PHB-low (<50%)
brenneria	0.0	5	4.465311772255146e-18	PHB-low (<50%)
glaesserella	0.5	2	3.34898382919136e-18	PHB-high (>=50%)
thiodubiliella	0.0	7	8.930623544510293e-18	PHB-low (<50%)
colwellia	0.625	8	4.465311772255146e-18	PHB-high (>=50%)
moritella	0.0	5	2.232655886127573e-18	PHB-low (<50%)
oleiphilus	1.0	1	4.465311772255146e-18	PHB-high (>=50%)
ruthia	0.0	4	6.69796765838272e-18	PHB-low (<50%)
kangiella	0.0	2	6.69796765838272e-18	PHB-low (<50%)
gilliamella	0.0	19	4.465311772255146e-18	PHB-low (<50%)
oceanisphaera	1.0	2	5.5816397153189335e-18	PHB-high (>=50%)
thioglobus_a	0.0	5	5.5816397153189335e-18	PHB-low (<50%)
thalassotalea_a	0.3333333333333333	3	3.34898382919136e-18	PHB-low (<50%)
idiomarina	0.0	10	6.69796765838272e-18	PHB-low (<50%)
bacillus_ah	0.0	1	1.1163279430637866e-18	PHB-low (<50%)
listeria	0.0	19	1.0046951487574079e-17	PHB-low (<50%)
brachyspira	0.0	9	4.465311772255146e-18	PHB-low (<50%)
wolinella	0.0	1	2.232655886127573e-18	PHB-low (<50%)
actinobacillus	0.0	4	2.232655886127573e-18	PHB-low (<50%)
histophilus	0.0	1	1.1163279430637866e-18	PHB-low (<50%)
mannheimia	0.0	4	5.5816397153189335e-18	PHB-low (<50%)
moraxella	0.14285714285714285	14	4.465311772255146e-18	PHB-low (<50%)
paraglaciecola	0.0	4	2.232655886127573e-18	PHB-low (<50%)
fukatsuia	0.0	1	4.465311772255146e-18	PHB-low (<50%)
limnobaculum	0.0	3	6.69796765838272e-18	PHB-low (<50%)
commensalibacter	0.0	2	2.232655886127573e-18	PHB-low (<50%)
acetobacter	0.0	32	1.7861247089020585e-17	PHB-low (<50%)
limnothrix	0.0	2	8.930623544510293e-18	PHB-low (<50%)
borrelia	0.0	7	8.930623544510293e-18	PHB-low (<50%)
francisella	0.0	10	1.7861247089020588e-17	PHB-low (<50%)
sulfurospirillum	0.0	7	8.930623544510293e-18	PHB-low (<50%)
hafnia	0.0	4	2.232655886127573e-18	PHB-low (<50%)
ferroglobus	1.0	1	3.34898382919136e-18	PHB-high (>=50%)
natronorubrum	1.0	4	4.465311772255146e-18	PHB-high (>=50%)
cuniculiplasma	0.0	7	4.465311772255146e-18	PHB-low (<50%)
phytobacter	0.0	2	5.5816397153189335e-18	PHB-low (<50%)
roseibium	1.0	8	1.7861247089020585e-17	PHB-high (>=50%)
leptospira_a	0.0	15	2.232655886127573e-18	PHB-low (<50%)
tullyiplasma	0.0	1	2.232655886127573e-18	PHB-low (<50%)
arsenophonus	0.0	3	2.232655886127573e-18	PHB-low (<50%)
methanomethylovorans	0.0	2	6.69796765838272e-18	PHB-low (<50%)
campylobacter_b	0.0	10	6.69796765838272e-18	PHB-low (<50%)
borreliella	0.0	9	1.339593531676544e-17	PHB-low (<50%)
fructilactobacillus	0.0	5	1.1163279430637866e-18	PHB-low (<50%)
persephonella	0.0	2	6.69796765838272e-18	PHB-low (<50%)
mycoplasma	0.0	6	4.465311772255146e-18	PHB-low (<50%)
ureaplasma	0.0	5	7.814295601446506e-18	PHB-low (<50%)
mariprofundus	0.0	3	4.465311772255146e-18	PHB-low (<50%)
ignicoccus	0.0	1	1.1163279430637867e-17	PHB-low (<50%)
caldicellulosiruptor	0.0	3	2.232655886127573e-18	PHB-low (<50%)
mycoplasmopsis	0.0	12	6.69796765838272e-18	PHB-low (<50%)
lacimicrobium	0.0	1	7.814295601446506e-18	PHB-low (<50%)
desulfurococcus	0.0	2	6.69796765838272e-18	PHB-low (<50%)
pyrococcus	0.0	3	1.5628591202893013e-17	PHB-low (<50%)
infirmifilum	0.0	1	1.0046951487574079e-17	PHB-low (<50%)
petrotoga	0.0	3	6.69796765838272e-18	PHB-low (<50%)
weissella	0.0	16	4.465311772255146e-18	PHB-low (<50%)
halobacillus	0.0	9	5.5816397153189335e-18	PHB-low (<50%)
actinotignum	0.0	3	2.232655886127573e-18	PHB-low (<50%)
