gtdb_species_clade_id	GTDB_taxonomy	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	no_genomes	no_core	no_aux_genome	no_gene_clusters	phb_status	phb_genes_str	phaC_is_core	phaC_is_aux	has_phaC	has_complete_pathway
s__SXXK01_sp005791255--GB_GCA_005791255.1	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	SXXK01	5	2210	7695	9905	absent				0	0
s__CAG-485_sp000437495--GB_GCA_000437495.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	5	940	1989	2929	absent				0	0
s__40CM-4-65-16_sp005882135--GB_GCA_005882135.1	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__40CM-4-65-16	Dormibacterota	Dormibacteria	Dormibacterales	Dormibacteraceae	40CM-4-65-16	5	1995	3939	5934	precursors_only	phaA,phaP			0	0
s__Sphaerochaeta_sp001604325--GB_GCA_001604325.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Sphaerochaeta	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Sphaerochaeta	5	603	3559	4162	absent				0	0
s__Bradyrhizobium_denitrificans--RS_GCF_000015165.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	5	5917	4340	10257	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__PUMT01_sp007125955--GB_GCA_007125955.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__PUMT01;g__PUMT01	Bacteroidota	Bacteroidia	Bacteroidales	PUMT01	PUMT01	5	928	2253	3181	absent				0	0
s__WTCK01_sp018238375--GB_GCA_018238375.1	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01	Asgardarchaeota	Thorarchaeia	Thorarchaeales	Thorarchaeaceae	WTCK01	5	1544	3025	4569	precursors_only	phaA			0	0
s__Marisimplicoccus_sp902586435--GB_GCA_902586435.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Marisimplicoccus	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Marisimplicoccus	5	423	1276	1699	absent				0	0
s__Limosilactobacillus_balticus--RS_GCF_014145615.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	5	1621	1462	3083	precursors_only	phaA,phaP			0	0
s__Chryseobacterium_scophthalmum--RS_GCF_900143185.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	5	2827	4192	7019	precursors_only	phaA,phaB			0	0
s__Croceitalea_sp013001145--GB_GCA_013001145.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceitalea	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Croceitalea	5	1932	2403	4335	precursors_only	phaA			0	0
s__BAIKAL-G1_sp903855705--GB_GCA_903855705.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__BAIKAL-G1	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	BAIKAL-G1	5	1049	4081	5130	absent				0	0
s__UBA2942_sp900321525--GB_GCA_900321525.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2942	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA2942	5	1056	3172	4228	precursors_only	phaB			0	0
s__Bin75_sp009842645--GB_GCA_009842645.1	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__UBA8639;g__Bin75	Nitrospirota	Nitrospiria	Nitrospirales	UBA8639	Bin75	5	1754	1646	3400	precursors_only	phaB			0	0
s__Thiobacillus_sp001899305--GB_GCA_001899305.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	5	1880	3894	5774	absent				0	0
s__UBA11657_sp002377585--GB_GCA_002377585.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11657;g__UBA11657	Chloroflexota	Anaerolineae	Anaerolineales	UBA11657	UBA11657	5	830	2543	3373	precursors_only	phaA			0	0
s__Pseudomonas_B_oryzihabitans_D--RS_GCF_014522265.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_B	5	3603	3365	6968	precursors_only	phaA,phaB,phaP			0	0
s__CAG-238_sp927797855--GB_GCA_927797855.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	5	930	1542	2472	precursors_only	phaA			0	0
s__OLB17_sp002333435--GB_GCA_016716305.1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	OLB17	5	1605	3665	5270	precursors_only	phaA			0	0
s__Methanobrevibacter_C_arboriphilus_A--RS_GCF_019669925.1	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_C	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_C	5	1268	3188	4456	precursors_only	phaA			0	0
s__Enorma_sp900751795--GB_GCA_905210055.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	5	1219	1926	3145	absent				0	0
s__Methanospirillum_sp012520015--GB_GCA_012520015.1	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	5	1450	3870	5320	precursors_only	phaA,phaB			0	0
s__Desulfovibrio_piger_A--RS_GCF_900116045.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	5	1498	2695	4193	accessory_only	phaP			0	0
s__Pediococcus_ethanolidurans--RS_GCF_001437405.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	5	1504	1581	3085	precursors_only	phaA			0	0
s__Eubacterium_F_sp910574015--GB_GCA_910574015.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_F	5	2336	2211	4547	precursors_only	phaA			0	0
s__JAMLJG01_sp023953695--GB_GCA_023953695.1	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__LD1-PB3_A;f__CAIVKH01;g__JAMLJG01	Verrucomicrobiota	Kiritimatiellia	LD1-PB3_A	CAIVKH01	JAMLJG01	5	1757	1647	3404	absent				0	0
s__CAIXEA01_sp903918315--GB_GCA_903918315.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIXEA01	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAIXEA01	5	3086	4231	7317	complete	phaA,phaB,phaC,phaZ	True	True	1	1
s__Caproicibacterium_sp900554535--GB_GCA_900554535.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Caproicibacterium	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Caproicibacterium	5	1180	3048	4228	precursors_only	phaA			0	0
s__Blautia_A_sp905206915--RS_GCF_020537505.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	5	1327	3750	5077	synthase_only	phaC	False	True	1	0
s__Streptomyces_olivochromogenes--RS_GCF_001514115.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	Actinomycetota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	5	6446	11757	18203	precursors_only	phaA,phaB,phaP			0	0
s__Thermoanaerobacter_thermocopriae--RS_GCF_001310975.1	d__Bacteria;p__Bacillota_A;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter	Bacillota_A	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	5	1650	3259	4909	absent				0	0
s__RUG14186_sp902796565--GB_GCA_902796565.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__RUG14186	Bacillota_A	Clostridia	Eubacteriales	Anaerofustaceae	RUG14186	5	869	3420	4289	precursors_only	phaB			0	0
s__CAIQLG01_sp903872565--GB_GCA_903872565.1	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__GWF2-50-93;g__CAIQLG01	Verrucomicrobiota	Lentisphaeria	Victivallales	GWF2-50-93	CAIQLG01	5	3299	5700	8999	precursors_only	phaB			0	0
s__UBA6615_sp002937505--GB_GCA_002937505.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__UBA6615	Pseudomonadota	Alphaproteobacteria	UBA6615	UBA6615	UBA6615	5	977	1998	2975	precursors_only	phaA			0	0
s__Syntrophosphaera_sp002070045--GB_GCA_002070045.1	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Syntrophosphaera	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Syntrophosphaera	5	451	2369	2820	precursors_only	phaA			0	0
s__UBA4735_sp002404155--GB_GCA_002404155.1	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__P2-11E;f__P2-11E;g__UBA4735	Chloroflexota	Limnocylindria	P2-11E	P2-11E	UBA4735	5	2090	3267	5357	precursors_only	phaA			0	0
s__Weissella_ceti--RS_GCF_000750535.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	5	1207	295	1502	precursors_only	phaA			0	0
s__Ethanoligenens_harbinense--RS_GCF_000178115.2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens	Bacillota_A	Clostridia	Oscillospirales	Ethanoligenenaceae	Ethanoligenens	5	2617	282	2899	accessory_only	phaP			0	0
s__PXAH01_sp021735445--GB_GCA_021735445.1	d__Bacteria;p__Omnitrophota;c__Koll11;o__Duberdicusellales;f__4484-171;g__PXAH01	Omnitrophota	Koll11	Duberdicusellales	4484-171	PXAH01	5	705	916	1621	absent				0	0
s__UBA1711_sp902771735--GB_GCA_902771735.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA1711	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	5	1336	1641	2977	absent				0	0
s__Prevotella_sp017410365--GB_GCA_017410365.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	5	1603	4735	6338	absent				0	0
s__JACKBK01_sp020634615--GB_GCA_020634615.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAEKA01;f__JAAEKA01;g__JACKBK01	Chloroflexota	Anaerolineae	JAAEKA01	JAAEKA01	JACKBK01	5	2232	8408	10640	precursors_only	phaA,phaP			0	0
s__Pelethomonas_sp014237695--GB_GCA_014237695.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	5	1971	3013	4984	absent				0	0
s__Salipiger_profundus--RS_GCF_001969385.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salipiger	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salipiger	5	4075	1731	5806	complete	phaA,phaB,phaC,phaZ	True	False	1	1
s__Sphaerotilus_sulfidivorans--RS_GCF_013426975.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Sphaerotilus	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Sphaerotilus	4	2903	2430	5333	complete	phaA,phaB,phaC,phaZ	True	False	1	1
s__Pauljensenia_odontolytica_B--RS_GCF_002847525.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	4	430	3522	3952	absent				0	0
s__Prevotella_sp002479145--GB_GCA_002479145.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	5	647	1880	2527	absent				0	0
s__Adamsella_avium--GB_GCA_904420445.1	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__CAJFVJ01;g__Adamsella	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	CAJFVJ01	Adamsella	5	1816	523	2339	absent				0	0
s__Fictibacillus_C_sp001510655--RS_GCF_001510655.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_G;f__Fictibacillaceae;g__Fictibacillus_C	Bacillota	Bacilli	Bacillales_G	Fictibacillaceae	Fictibacillus_C	3	3594	2788	6382	precursors_only	phaA			0	0
s__Weissella_confusa_B--GB_GCA_016466735.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	5	1356	1997	3353	precursors_only	phaA,phaP			0	0
s__COE1_sp000403215--GB_GCA_000403215.2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	5	1951	6588	8539	precursors_only	phaA			0	0
s__TMED26_sp003280605--GB_GCA_003280605.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__TMED26	Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	TMED26	4	1548	2643	4191	complete	phaA,phaB,phaC,phaZ	True	True	1	1
s__Helcobacillus_massiliensis--RS_GCF_014191425.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Helcobacillus	Actinomycetota	Actinomycetia	Actinomycetales	Dermabacteraceae	Helcobacillus	5	1869	858	2727	precursors_only	phaA			0	0
s__Aequoribacter_sp003520285--GB_GCA_003520285.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Aequoribacter	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Aequoribacter	5	862	3771	4633	precursors_only	phaA			0	0
s__F23-B02_sp900556535--GB_GCA_900556535.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	5	1165	1629	2794	absent				0	0
s__Trinickia_caryophylli--RS_GCF_007097545.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Trinickia	4	5632	470	6102	complete	phaA,phaB,phaC,phaP,phaZ	True	False	1	1
s__Microbacterium_laevaniformans--RS_GCF_016907555.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	5	1769	3530	5299	precursors_only	phaA,phaZ			0	0
s__T3Sed10-11_sp003568415--GB_GCA_003568415.1	d__Bacteria;p__Bacteroidota;c__T3Sed10-11;o__T3Sed10-11;f__T3Sed10-11;g__T3Sed10-11	Bacteroidota	T3Sed10-11	T3Sed10-11	T3Sed10-11	T3Sed10-11	5	1246	4495	5741	precursors_only	phaA			0	0
s__Saccharofermentans_sp015069205--GB_GCA_015069205.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans	Bacillota_A	Clostridia	Saccharofermentanales	Saccharofermentanaceae	Saccharofermentans	5	777	3457	4234	absent				0	0
s__Egerieousia_sp017556665--GB_GCA_017556665.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Egerieousia	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Egerieousia	5	691	2844	3535	absent				0	0
s__VFJL01_sp903957805--GB_GCA_903957805.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__VFJL01	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	VFJL01	5	578	2967	3545	precursors_only	phaA			0	0
s__Polaromonas_sp002256925--GB_GCA_002256925.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Polaromonas	4	1935	3361	5296	complete	phaA,phaB,phaC,phaZ	True	False	1	1
s__PNKE01_sp003487005--GB_GCA_003487005.1	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__PNKE01	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	PNKE01	4	2754	4162	6916	absent				0	0
s__Ruminiclostridium_sp023400235--GB_GCA_023400235.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Acetivibrionales;f__DSM-27016;g__Ruminiclostridium	Bacillota_A	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	4	1751	4864	6615	absent				0	0
s__Mycobacterium_cosmeticum--RS_GCF_000613185.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	4	5536	2219	7755	complete	phaA,phaC	True	False	1	1
s__N075bin58_sp004356825--GB_GCA_004356825.1	d__Bacteria;p__KSB1;c__UBA2214;o__CR04bin15;f__CR04bin15;g__N075bin58	KSB1	UBA2214	CR04bin15	CR04bin15	N075bin58	4	1022	7087	8109	precursors_only	phaA,phaB			0	0
s__Chryseobacterium_rhizosphaerae--RS_GCF_003385455.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	4	3844	1904	5748	precursors_only	phaA,phaB			0	0
s__Paenibacillus_sp900101225--GB_GCA_022836915.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	3	5405	2151	7556	absent				0	0
s__Bog-209_sp003132325--GB_GCA_003132325.1	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Bog-209	Acidobacteriota	Terriglobia	Terriglobales	SbA1	Bog-209	4	1710	7768	9478	precursors_only	phaA,phaB			0	0
s__Porphyromonas_asaccharolytica--RS_GCF_000212375.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	4	1207	1116	2323	absent				0	0
s__UBA8950_sp001872455--GB_GCA_001872455.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA8950	Chloroflexota	Anaerolineae	Anaerolineales	EnvOPS12	UBA8950	4	2529	927	3456	precursors_only	phaA			0	0
s__Bosea_sp000745475--RS_GCF_000745475.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	4	4293	2850	7143	complete	phaA,phaB,phaC,phaP,phaZ	True	False	1	1
s__Pelethomonas_sp900549475--GB_GCA_900549475.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pelethomonas	4	1355	2934	4289	absent				0	0
s__Fimousia_sp001940245--RS_GCF_001940245.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fimousia	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Fimousia	4	1728	1610	3338	precursors_only	phaA			0	0
s__CG1-02-37-114_sp001871125--GB_GCA_001871125.1	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__CG1-02-37-114;g__CG1-02-37-114	Elusimicrobiota	Endomicrobia	CG1-02-37-114	CG1-02-37-114	CG1-02-37-114	4	1240	1938	3178	absent				0	0
s__Pseudomonas_E_koreensis_A--RS_GCF_018138145.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	4	5077	2382	7459	complete	phaA,phaC,phaP	True	False	1	1
s__RGIG9608_sp017547145--GB_GCA_017547145.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RGIG9608	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RGIG9608	3	716	1768	2484	absent				0	0
s__Neisseria_brasiliensis--RS_GCF_009671065.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	4	2093	789	2882	absent				0	0
s__Deinococcus_radiopugnans--RS_GCF_006335125.1	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	3	2843	1722	4565	precursors_only	phaA			0	0
s__UBA5004_sp001824255--GB_GCA_001824255.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__Zambryskibacteraceae;g__UBA5004	Patescibacteria	Paceibacteria	UBA9983_A	Zambryskibacteraceae	UBA5004	4	468	151	619	absent				0	0
s__Petromonas_tenebris--GB_GCA_014236755.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Caminicellaceae;g__Petromonas	Bacillota_A	Clostridia	Peptostreptococcales	Caminicellaceae	Petromonas	4	2343	1288	3631	precursors_only	phaA			0	0
s__Sphingomonas_sp913776045--GB_GCA_913776045.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	4	1474	3348	4822	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__Ruminococcus_sp002362135--GB_GCA_002362135.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	4	1220	2095	3315	absent				0	0
s__Vannielia_sp017792405--GB_GCA_017792405.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Vannielia	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Vannielia	3	3826	847	4673	complete	phaA,phaB,phaC,phaP,phaZ	True	False	1	1
s__UBA1066_sp900319795--GB_GCA_900319795.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA1066	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA1066	3	953	1689	2642	precursors_only	phaA			0	0
s__UBA9715_sp902779135--GB_GCA_902779135.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__UBA9715	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UBA9715	4	760	3842	4602	absent				0	0
s__Gluconobacter_A_sp014132155--RS_GCF_014132155.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Gluconobacter_A	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Gluconobacter_A	4	2539	1721	4260	accessory_only	phaP			0	0
s__Collinsella_sp900544115--GB_GCA_900544115.1	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	3	1401	1225	2626	precursors_only	phaA			0	0
s__Cryptobacteroides_sp945487035--GB_GCA_945487035.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Cryptobacteroides	4	617	2511	3128	absent				0	0
