orgId	locusId	min_rank	max_rank	mean_rank	rank_range	n_configs_top50	n_configs_top100	in_top50_all	in_top100_all	original	equal	neighbor_dominant	conservation_dominant	drop_tractability	drop_neighbor
RalstoniaBSBF1503	RALBFv3_RS10005	2528	3119	2806.0	591	0	0	False	False	2816	3119	2740	2546	2528	3087
SyringaeB728a_mexBdelta	Psyr_4570	1230	3249	2434.3333333333335	2019	0	0	False	False	2826	2531	3249	1230	2537	2233
Burk376	H281DRAFT_01983	1294	3008	2480.8333333333335	1714	0	0	False	False	2816	2666	3008	1294	2528	2573
pseudo1_N1B4	Pf1N1B4_831	2467	3821	3086.6666666666665	1354	0	0	False	False	2826	3003	3507	2896	3821	2467
Cup4G11	RR42_RS15760	2537	3183	2886.3333333333335	646	0	0	False	False	2826	3045	3183	2930	2537	2797
SB2B	6938574	2558	3818	2911.8333333333335	1260	0	0	False	False	2826	2722	2697	2558	3818	2850
ANA3	7022580	2537	3675	2935.6666666666665	1138	0	0	False	False	2826	2820	3216	3675	2537	2540
DvH	209142	2717	3591	2987.0	874	0	0	False	False	2833	2717	2826	3591	3157	2798
DvH	208369	2717	3591	2987.0	874	0	0	False	False	2833	2717	2826	3591	3157	2798
psRCH2	GFF2065	2244	4006	3275.1666666666665	1762	0	0	False	False	2833	3264	2244	4006	3334	3970
Btheta	350657	1815	3628	2736.3333333333335	1813	0	0	False	False	2843	2350	3628	3235	2547	1815
Methanococcus_S2	MMP_RS07455	2245	3970	2991.3333333333335	1725	0	0	False	False	2836	3264	2245	3086	2547	3970
Btheta	353344	2159	3382	2648.0	1223	0	0	False	False	2843	2524	3382	2421	2559	2159
RalstoniaGMI1000	RS_RS02720	2541	3114	2817.1666666666665	573	0	0	False	False	2836	3114	2851	2541	2547	3014
BFirm	BPHYT_RS29240	2245	3970	2991.3333333333335	1725	0	0	False	False	2836	3264	2245	3086	2547	3970
BFirm	BPHYT_RS25125	2245	3970	2991.3333333333335	1725	0	0	False	False	2836	3264	2245	3086	2547	3970
BFirm	BPHYT_RS08010	2245	3970	2991.3333333333335	1725	0	0	False	False	2836	3264	2245	3086	2547	3970
SyringaeB728a	Psyr_3577	2289	3114	2774.0	825	0	0	False	False	2836	3114	2844	2289	2547	3014
BFirm	BPHYT_RS31355	2245	3970	2991.3333333333335	1725	0	0	False	False	2836	3264	2245	3086	2547	3970
psRCH2	GFF911	1939	3707	2981.8333333333335	1768	0	0	False	False	2845	2587	3707	3439	3374	1939
MR1	201656	2279	4205	3156.6666666666665	1926	0	0	False	False	2845	2974	3761	2876	4205	2279
Pedo557	CA265_RS15590	2394	3254	2703.3333333333335	860	0	0	False	False	2847	2645	3254	2520	2560	2394
WCS417	GFF3087	2394	3254	2703.3333333333335	860	0	0	False	False	2847	2645	3254	2520	2560	2394
RalstoniaGMI1000	RS_RS18085	2322	3852	2986.5	1530	0	0	False	False	2847	3259	2322	3079	2560	3852
pseudo6_N2E2	Pf6N2E2_2291	2042	3761	2743.5	1719	0	0	False	False	2847	2979	3761	2042	2563	2269
Cup4G11	RR42_RS11015	2286	3220	2721.5	934	0	0	False	False	2847	2344	3069	3220	2563	2286
ANA3	7023887	2292	3387	2708.3333333333335	1095	0	0	False	False	2858	2637	3387	2511	2565	2292
pseudo1_N1B4	Pf1N1B4_3803	2654	3841	2966.6666666666665	1187	0	0	False	False	2852	2770	2654	2725	3841	2958
pseudo13_GW456_L13	PfGW456L13_840	1844	3711	2786.8333333333335	1867	0	0	False	False	2852	2632	3390	1844	3711	2292
RalstoniaPSI07	RPSI07_RS22480	2284	3114	2796.6666666666665	830	0	0	False	False	2852	3090	3114	2284	2565	2875
pseudo5_N2C3_1	AO356_05530	2324	4022	3043.5	1698	0	0	False	False	2852	3180	2667	2324	4022	3216
RalstoniaGMI1000	RS_RS01670	2284	3114	2796.6666666666665	830	0	0	False	False	2852	3090	3114	2284	2565	2875
azobra	AZOBR_RS14575	1306	3075	2511.1666666666665	1769	0	0	False	False	2852	2696	3075	1306	2565	2573
RalstoniaBSBF1503	RALBFv3_RS00735	2565	3216	2868.0	651	0	0	False	False	2858	3186	2667	2716	2565	3216
Dino	3610206	2074	4302	3196.6666666666665	2228	0	0	False	False	2858	3326	2074	4049	2571	4302
MR1	202162	1838	4238	3222.1666666666665	2400	0	0	False	False	2861	2732	4055	3609	4238	1838
Koxy	BWI76_RS27725	2786	3933	3267.1666666666665	1147	0	0	False	False	2861	3160	2786	3933	3719	3144
DvH	207033	2786	3230	3031.0	444	0	0	False	False	2861	3160	2786	3027	3230	3122
pseudo1_N1B4	Pf1N1B4_4084	2178	3877	3093.8333333333335	1699	0	0	False	False	2861	2621	3515	3511	3877	2178
Btheta	351581	1953	3558	2643.6666666666665	1605	0	0	False	False	2861	2418	3558	2500	2572	1953
Dino	3610675	2371	3678	2943.1666666666665	1307	0	0	False	False	2861	2834	2371	3678	2572	3343
Dino	3610399	2371	3678	2943.1666666666665	1307	0	0	False	False	2861	2834	2371	3678	2572	3343
SynE	Synpcc7942_0161	2543	3399	2817.6666666666665	856	0	0	False	False	2861	2543	2786	3399	2572	2745
RalstoniaUW163	UW163_RS25455	2543	3399	2817.6666666666665	856	0	0	False	False	2861	2543	2786	3399	2572	2745
azobra	AZOBR_RS14315	2062	3324	2727.1666666666665	1262	0	0	False	False	2870	2334	3324	3201	2572	2062
Pedo557	CA265_RS25005	1974	3466	2735.1666666666665	1492	0	0	False	False	2871	2324	3466	3197	2579	1974
Methanococcus_S2	MMP_RS03380	2519	3175	2757.3333333333335	656	0	0	False	False	2872	2704	3175	2694	2580	2519
Methanococcus_JJ	MMJJ_RS01685	2519	3175	2757.3333333333335	656	0	0	False	False	2872	2704	3175	2694	2580	2519
psRCH2	GFF2094	2539	3583	3046.6666666666665	1044	0	0	False	False	2872	2709	3172	3583	3405	2539
PS	Dsui_2267	2580	3353	2907.8333333333335	773	0	0	False	False	2872	3080	3353	2794	2580	2768
MR1	201129	1855	4306	3132.1666666666665	2451	0	0	False	False	2876	2941	4306	2571	4244	1855
RalstoniaUW163	UW163_RS16200	2587	3227	2894.8333333333335	640	0	0	False	False	2876	3227	2737	2726	2587	3216
Burk376	H281DRAFT_02128	1821	3057	2625.5	1236	0	0	False	False	2876	2820	2596	1821	2583	3057
pseudo3_N2E3	AO353_25780	2424	3150	2841.1666666666665	726	0	0	False	False	2876	3150	3023	2424	2583	2991
BFirm	BPHYT_RS33020	1977	3769	2675.6666666666665	1792	0	0	False	False	2876	2612	3769	2237	2583	1977
pseudo6_N2E2	Pf6N2E2_5029	1821	3057	2625.5	1236	0	0	False	False	2876	2820	2596	1821	2583	3057
Cola	Echvi_2352	1981	4174	2854.6666666666665	2193	0	0	False	False	2876	2939	1981	2571	2587	4174
Cola	Echvi_0574	1890	4255	2884.8333333333335	2365	0	0	False	False	2883	2972	1890	2722	2587	4255
Keio	15557	2453	4647	3109.0	2194	0	0	False	False	2883	2691	3295	2685	4647	2453
Btheta	351878	2587	3761	3009.3333333333335	1174	0	0	False	False	2883	2923	3061	3761	2587	2841
SyringaeB728a_mexBdelta	Psyr_3028	1486	3094	2537.5	1608	0	0	False	False	2887	2612	3094	1486	2593	2553
Burk376	H281DRAFT_00932	2185	3171	2664.5	986	0	0	False	False	2883	2753	2408	2185	2587	3171
Putida	PP_0018	1870	4252	3167.6666666666665	2382	0	0	False	False	2888	2604	3914	3478	4252	1870
Smeli	SMa0031	2461	4021	3337.5	1560	0	0	False	False	2888	3300	2461	4021	3580	3775
SynE	Synpcc7942_1271	2079	3468	2806.8333333333335	1389	0	0	False	False	2888	2484	3468	3328	2594	2079
pseudo5_N2C3_1	AO356_02120	2511	4082	3182.0	1571	0	0	False	False	2888	3057	3608	2946	4082	2511
pseudo13_GW456_L13	PfGW456L13_2906	2207	3926	3073.0	1719	0	0	False	False	2892	3017	3926	2618	3778	2207
pseudo3_N2E3	AO353_22815	2106	3588	2803.6666666666665	1482	0	0	False	False	2895	3080	3588	2106	2597	2556
acidovorax_3H11	Ac3H11_4420	2595	3661	2943.1666666666665	1066	0	0	False	False	2893	2794	2799	3661	2595	2917
SynE	Synpcc7942_0689	2595	3661	2943.1666666666665	1066	0	0	False	False	2893	2794	2799	3661	2595	2917
pseudo6_N2E2	Pf6N2E2_3483	2597	3228	2887.3333333333335	631	0	0	False	False	2895	3228	2821	2603	2597	3180
pseudo6_N2E2	Pf6N2E2_6092	2583	3188	2888.5	605	0	0	False	False	2897	3188	3046	2583	2603	3014
RalstoniaGMI1000	RS_RS00185	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
RalstoniaUW163	UW163_RS22800	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
Koxy	BWI76_RS10235	2573	3801	2995.1666666666665	1228	0	0	False	False	2914	2748	3220	2715	3801	2573
SyringaeB728a_mexBdelta	Psyr_2996	1932	4255	2902.6666666666665	2323	0	0	False	False	2898	2998	1932	2729	2604	4255
SB2B	6938680	1857	3946	2856.8333333333335	2089	0	0	False	False	2898	2664	3682	1857	3946	2094
pseudo1_N1B4	Pf1N1B4_3404	2898	3960	3344.5	1062	0	0	False	False	2898	3222	2935	3960	3946	3106
SyringaeB728a	Psyr_2996	1932	4255	2902.6666666666665	2323	0	0	False	False	2898	2998	1932	2729	2604	4255
RalstoniaBSBF1503	RALBFv3_RS22255	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
RalstoniaGMI1000	RS_RS18350	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
ANA3	7024783	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
RalstoniaPSI07	RPSI07_RS00945	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
Dyella79	N515DRAFT_4109	1932	4255	2902.6666666666665	2323	0	0	False	False	2898	2998	1932	2729	2604	4255
HerbieS	HSERO_RS16455	1932	4255	2902.6666666666665	2323	0	0	False	False	2898	2998	1932	2729	2604	4255
RalstoniaPSI07	RPSI07_RS23765	2592	3203	2886.5	611	0	0	False	False	2898	3203	2935	2592	2604	3087
Magneto	AMB_RS22135	1932	4255	2902.6666666666665	2323	0	0	False	False	2898	2998	1932	2729	2604	4255
SyringaeB728a_mexBdelta	Psyr_2112	1326	3220	2564.6666666666665	1894	0	0	False	False	2898	2753	3220	1326	2618	2573
Burk376	H281DRAFT_04122	1326	3220	2564.6666666666665	1894	0	0	False	False	2898	2753	3220	1326	2618	2573
Kang	B158DRAFT_2042	1263	3478	2518.6666666666665	2215	0	0	False	False	2914	2598	3478	1263	2626	2233
ANA3	7023964	2094	3682	2725.1666666666665	1588	0	0	False	False	2914	2666	3682	2391	2604	2094
Cup4G11	RR42_RS11315	2506	3198	2771.0	692	0	0	False	False	2914	2863	2506	2527	2618	3198
SynE	Synpcc7942_0514	2618	3659	2956.3333333333335	1041	0	0	False	False	2914	2787	2910	3659	2618	2850
PS	Dsui_2918	2618	3960	3127.0	1342	0	0	False	False	2914	3222	2935	3960	2618	3113
Cola	Echvi_0707	1509	3165	2567.3333333333335	1656	0	0	False	False	2914	2637	3165	1509	2626	2553
azobra	AZOBR_RS07560	2337	3539	2758.1666666666665	1202	0	0	False	False	2914	2787	2337	2346	2626	3539
RalstoniaGMI1000	RS_RS23610	2631	3196	2951.3333333333335	565	0	0	False	False	2922	3196	3069	2876	2631	3014
RalstoniaPSI07	RPSI07_RS00375	2588	3196	2903.5	608	0	0	False	False	2922	3196	3069	2588	2632	3014
Putida	PP_3468	2922	4289	3406.1666666666665	1367	0	0	False	False	2922	3196	3067	3949	4289	3014
DvH	11399210	2780	3653	3085.5	873	0	0	False	False	2925	2780	3050	3653	3307	2798
Ponti	CA264_12360	2387	3970	3066.6666666666665	1583	0	0	False	False	2925	3337	2387	3149	2632	3970
BFirm	BPHYT_RS13400	2387	3970	3066.6666666666665	1583	0	0	False	False	2925	3337	2387	3149	2632	3970
BFirm	BPHYT_RS22590	2474	3342	2779.5	868	0	0	False	False	2925	2733	3342	2571	2632	2474
WCS417	GFF4919	2632	3843	3051.6666666666665	1211	0	0	False	False	2925	3037	2664	3843	2632	3209
Smeli	SMc01748	1812	3864	3004.1666666666665	2052	0	0	False	False	2925	2455	3864	3312	3657	1812
Methanococcus_JJ	MMJJ_RS09080	2387	3970	3066.6666666666665	1583	0	0	False	False	2925	3337	2387	3149	2632	3970
psRCH2	GFF820	2386	4062	3357.8333333333335	1676	0	0	False	False	2925	3337	2386	4062	3467	3970
psRCH2	GFF1298	2254	3855	2989.8333333333335	1601	0	0	False	False	2925	3057	3855	2254	3467	2381
Methanococcus_S2	MMP_RS05300	2387	3970	3066.6666666666665	1583	0	0	False	False	2925	3337	2387	3149	2632	3970
MR1	202787	2935	4357	3425.6666666666665	1422	0	0	False	False	2935	3189	3187	3946	4357	2940
ANA3	7025443	2394	3484	2792.0	1090	0	0	False	False	2937	2726	3484	2568	2643	2394
Korea	Ga0059261_0250	2394	3484	2792.0	1090	0	0	False	False	2937	2726	3484	2568	2643	2394
Ddia6719	HGI48_RS00525	2394	3484	2792.0	1090	0	0	False	False	2937	2726	3484	2568	2643	2394
pseudo5_N2C3_1	AO356_12215	2269	4127	3186.5	1858	0	0	False	False	2937	3053	3955	2778	4127	2269
MR1	370242	2935	4357	3425.6666666666665	1422	0	0	False	False	2935	3189	3187	3946	4357	2940
RalstoniaBSBF1503	RALBFv3_RS21120	2643	3543	2990.5	900	0	0	False	False	2937	3298	2749	2773	2643	3543
pseudo6_N2E2	Pf6N2E2_4151	2143	4351	3266.6666666666665	2208	0	0	False	False	2937	3406	2143	4120	2643	4351
psRCH2	GFF1345	2937	3510	3135.5	573	0	0	False	False	2937	3189	3187	3050	3510	2940
pseudo13_GW456_L13	PfGW456L13_1986	2269	3951	3088.5	1682	0	0	False	False	2937	3053	3951	2509	3812	2269
Dino	3607906	2515	3871	3117.0	1356	0	0	False	False	2937	3085	2515	3871	2652	3642
HerbieS	HSERO_RS21030	2286	3306	2818.6666666666665	1020	0	0	False	False	2937	2451	3280	3306	2652	2286
HerbieS	HSERO_RS15000	2143	4351	3266.6666666666665	2208	0	0	False	False	2937	3406	2143	4120	2643	4351
Btheta	353819	2286	3306	2818.6666666666665	1020	0	0	False	False	2937	2451	3280	3306	2652	2286
pseudo13_GW456_L13	PfGW456L13_2619	2747	4015	3392.0	1268	0	0	False	False	2937	3298	2747	4015	3812	3543
RalstoniaBSBF1503	RALBFv3_RS11270	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
acidovorax_3H11	Ac3H11_3527	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaUW163	UW163_RS15915	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaBSBF1503	RALBFv3_RS04540	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
PV4	5210661	2292	3603	2796.8333333333335	1311	0	0	False	False	2950	2723	3603	2558	2655	2292
RalstoniaUW163	UW163_RS02315	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
ANA3	7026996	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaBSBF1503	RALBFv3_RS15545	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaPSI07	RPSI07_RS19575	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
pseudo6_N2E2	Pf6N2E2_5792	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaBSBF1503	RALBFv3_RS13895	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaGMI1000	RS_RS04630	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaBSBF1503	RALBFv3_RS08750	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaUW163	UW163_RS04860	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaUW163	UW163_RS09130	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
RalstoniaUW163	UW163_RS13005	2655	3274	2950.1666666666665	619	0	0	False	False	2950	3274	2853	2753	2655	3216
Burk376	H281DRAFT_01341	1882	4357	2973.0	2475	0	0	False	False	2966	3048	1882	2930	2655	4357
Miya	8501976	1882	4357	2973.0	2475	0	0	False	False	2966	3048	1882	2930	2655	4357
Miya	8502422	1882	4357	2973.0	2475	0	0	False	False	2966	3048	1882	2930	2655	4357
Miya	8499494	1882	4357	2973.0	2475	0	0	False	False	2966	3048	1882	2930	2655	4357
DvH	207134	2970	3334	3127.6666666666665	364	0	0	False	False	2970	3264	2994	3082	3334	3122
acidovorax_3H11	Ac3H11_821	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
SyringaeB728a_mexBdelta	Psyr_1866	2026	3462	2856.0	1436	0	0	False	False	2971	3160	3462	2026	2698	2819
SynE	Synpcc7942_0257	2332	3523	2797.3333333333335	1191	0	0	False	False	2971	2622	3523	2638	2698	2332
pseudo6_N2E2	Pf6N2E2_5121	2631	3259	2844.3333333333335	628	0	0	False	False	2971	2778	3259	2729	2698	2631
Btheta	349862	2698	3627	2965.6666666666665	929	0	0	False	False	2971	2764	2755	3627	2698	2979
HerbieS	HSERO_RS13155	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
RalstoniaUW163	UW163_RS16185	2178	3723	2803.3333333333335	1545	0	0	False	False	2971	2713	3723	2556	2679	2178
SynE	Synpcc7942_2086	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
SyringaeB728a	Psyr_2981	1996	3766	2839.6666666666665	1770	0	0	False	False	2971	3114	3766	1996	2679	2512
BFirm	BPHYT_RS11835	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
pseudo3_N2E3	AO353_14705	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
SynE	Synpcc7942_2572	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
pseudo3_N2E3	AO353_23345	2698	3627	2965.6666666666665	929	0	0	False	False	2971	2764	2755	3627	2698	2979
PS	Dsui_0722	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
SyringaeB728a	Psyr_1866	2026	3462	2856.0	1436	0	0	False	False	2971	3160	3462	2026	2698	2819
Dino	3610455	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
ANA3	7023249	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
Dino	3606739	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
Methanococcus_S2	MMP_RS07170	2631	3259	2844.3333333333335	628	0	0	False	False	2971	2778	3259	2729	2698	2631
acidovorax_3H11	Ac3H11_4904	2562	3735	3033.1666666666665	1173	0	0	False	False	2971	2909	2562	3735	2679	3343
Smeli	SMa1032	2819	3937	3346.1666666666665	1118	0	0	False	False	2991	3174	3462	3937	3694	2819
WCS417	GFF2041	2487	3259	2935.1666666666665	772	0	0	False	False	2992	3259	3119	2487	2708	3046
Smeli	SM_b20839	2063	3871	3153.0	1808	0	0	False	False	2992	2709	3871	3583	3700	2063
pseudo1_N1B4	Pf1N1B4_3457	2435	4009	3210.5	1574	0	0	False	False	2997	3105	3909	2808	4009	2435
RalstoniaBSBF1503	RALBFv3_RS23545	2194	3639	2799.6666666666665	1445	0	0	False	False	2994	2620	3639	2634	2717	2194
BFirm	BPHYT_RS35200	2519	3397	2852.6666666666665	878	0	0	False	False	2994	2772	3397	2726	2708	2519
pseudo3_N2E3	AO353_28570	2657	3732	3024.5	1075	0	0	False	False	2994	2904	2657	3732	2708	3152
SynE	Synpcc7942_1594	2718	3726	3025.3333333333335	1008	0	0	False	False	2998	2895	2758	3726	2718	3057
Dyella79	N515DRAFT_1594	2154	4174	2948.5	2020	0	0	False	False	2999	3024	2154	2622	2718	4174
Keio	15671	2758	4758	3369.1666666666665	2000	0	0	False	False	2999	2901	2758	3724	4758	3075
pseudo1_N1B4	Pf1N1B4_1823	2761	4014	3246.0	1253	0	0	False	False	2999	2901	2761	3726	4014	3075
Keio	15824	2758	4758	3369.1666666666665	2000	0	0	False	False	2999	2901	2758	3724	4758	3075
pseudo1_N1B4	Pf1N1B4_5033	2336	4034	3214.6666666666665	1698	0	0	False	False	2999	3093	4034	2804	4022	2336
acidovorax_3H11	Ac3H11_3774	2198	3561	2906.6666666666665	1363	0	0	False	False	3004	2548	3561	3407	2722	2198
SyringaeB728a_mexBdelta	Psyr_3560	2050	4436	2974.0	2386	0	0	False	False	3004	3449	2183	2050	2722	4436
pseudo6_N2E2	Pf6N2E2_5418	2050	4436	2974.0	2386	0	0	False	False	3004	3449	2183	2050	2722	4436
Kang	B158DRAFT_1054	2231	3171	2758.8333333333335	940	0	0	False	False	3004	2826	2599	2231	2722	3171
acidovorax_3H11	Ac3H11_1057	2540	3777	3094.8333333333335	1237	0	0	False	False	3004	2941	3585	3777	2722	2540
acidovorax_3H11	Ac3H11_1040	2616	3767	3065.8333333333335	1151	0	0	False	False	3009	2932	2616	3767	2728	3343
RalstoniaGMI1000	RS_RS23465	2729	3718	3037.3333333333335	989	0	0	False	False	3010	2886	2879	3718	2729	3002
Dino	3610214	2729	3678	3038.5	949	0	0	False	False	3010	2834	3182	3678	2729	2798
MR1	202163	1870	4414	3275.6666666666665	2544	0	0	False	False	3010	2683	4125	3552	4414	1870
WCS417	GFF626	2659	3511	3023.1666666666665	852	0	0	False	False	3013	3319	2908	2659	2729	3511
SyringaeB728a	Psyr_0187	2350	3640	2824.8333333333335	1290	0	0	False	False	3013	2764	3640	2453	2729	2350
Methanococcus_JJ	MMJJ_RS02435	2631	3337	2876.5	706	0	0	False	False	3013	2806	3337	2743	2729	2631
Smeli	SMc00907	2643	4072	3431.3333333333335	1429	0	0	False	False	3013	3366	2643	4072	3719	3775
azobra	AZOBR_RS28825	1790	4290	2799.6666666666665	2500	0	0	False	False	3017	2681	4290	2284	2736	1790
Btheta	352286	2210	3773	2824.1666666666665	1563	0	0	False	False	3018	2762	3773	2444	2738	2210
pseudo1_N1B4	Pf1N1B4_4373	3018	4066	3443.6666666666665	1048	0	0	False	False	3018	3316	3043	4039	4066	3180
Btheta	349696	1900	4040	2819.5	2140	0	0	False	False	3018	2602	4040	2619	2738	1900
pseudo1_N1B4	Pf1N1B4_4843	3018	4066	3443.6666666666665	1048	0	0	False	False	3018	3316	3043	4039	4066	3180
BFirm	BPHYT_RS10785	2735	3676	3051.6666666666665	941	0	0	False	False	3018	2831	3312	3676	2738	2735
pseudo1_N1B4	Pf1N1B4_1647	3018	4066	3443.6666666666665	1048	0	0	False	False	3018	3316	3043	4039	4066	3180
SyringaeB728a_mexBdelta	Psyr_2002	1355	3433	2656.6666666666665	2078	0	0	False	False	3024	2814	3433	1355	2741	2573
Pedo557	CA265_RS17835	2089	4255	2993.3333333333335	2166	0	0	False	False	3024	3069	2089	2782	2741	4255
Pedo557	CA265_RS16355	2089	4255	2993.3333333333335	2166	0	0	False	False	3024	3069	2089	2782	2741	4255
SyringaeB728a_mexBdelta	Psyr_0563	1294	3682	2608.5	2388	0	0	False	False	3024	2666	3682	1294	2752	2233
Miya	8502148	2089	4255	2993.3333333333335	2166	0	0	False	False	3024	3069	2089	2782	2741	4255
MR1	200574	2850	4421	3333.0	1571	0	0	False	False	3024	2863	3134	3706	4421	2850
Pedo557	CA265_RS22670	2089	4255	2993.3333333333335	2166	0	0	False	False	3024	3069	2089	2782	2741	4255
RalstoniaUW163	UW163_RS03980	2641	3305	2993.0	664	0	0	False	False	3024	3305	3160	2641	2741	3087
pseudo13_GW456_L13	PfGW456L13_2220	1975	3909	3081.3333333333335	1934	0	0	False	False	3024	3314	3160	1975	3909	3106
RalstoniaBSBF1503	RALBFv3_RS11380	2641	3305	2993.0	664	0	0	False	False	3024	3305	3160	2641	2741	3087
RalstoniaBSBF1503	RALBFv3_RS09600	2641	3305	2993.0	664	0	0	False	False	3024	3305	3160	2641	2741	3087
Magneto	AMB_RS20690	2089	4255	2993.3333333333335	2166	0	0	False	False	3024	3069	2089	2782	2741	4255
psRCH2	GFF33	2454	4217	3195.0	1763	0	0	False	False	3036	3426	2467	2454	3570	4217
pseudo1_N1B4	Pf1N1B4_5792	3037	4082	3460.1666666666665	1045	0	0	False	False	3037	3300	3280	4022	4082	3040
Phaeo	GFF3714	2585	3970	3162.5	1385	0	0	False	False	3038	3411	2585	3214	2757	3970
Ddia6719	HGI48_RS09060	2757	3896	3143.0	1139	0	0	False	False	3038	3107	2851	3896	2757	3209
Koxy	BWI76_RS09000	2828	4072	3479.8333333333335	1244	0	0	False	False	3038	3370	2828	4072	3925	3646
Btheta	352868	2499	3669	3057.5	1170	0	0	False	False	3038	2806	3576	3669	2757	2499
Methanococcus_S2	MMP_RS07490	2585	3970	3162.5	1385	0	0	False	False	3038	3411	2585	3214	2757	3970
Smeli	SMc01421	2158	4088	3287.8333333333335	1930	0	0	False	False	3043	2922	4088	3749	3767	2158
DdiaME23	DZA65_RS12560	2394	3687	2883.3333333333335	1293	0	0	False	False	3046	2794	3687	2616	2763	2394
MR1	202042	2279	4505	3359.6666666666665	2226	0	0	False	False	3044	3133	4207	2990	4505	2279
MR1	201170	2279	4505	3359.6666666666665	2226	0	0	False	False	3044	3133	4207	2990	4505	2279
Dino	3608372	2667	3852	3155.8333333333335	1185	0	0	False	False	3046	3406	2667	3201	2763	3852
Smeli	SMc02461	2417	3781	3232.1666666666665	1364	0	0	False	False	3046	2798	3690	3661	3781	2417
RalstoniaPSI07	RPSI07_RS02025	2763	3543	3083.0	780	0	0	False	False	3046	3363	2951	2832	2763	3543
pseudo6_N2E2	Pf6N2E2_1263	2292	3837	2889.8333333333335	1545	0	0	False	False	3050	2787	3837	2606	2767	2292
Magneto	AMB_RS17660	2015	4357	3047.8333333333335	2342	0	0	False	False	3050	3119	2015	2979	2767	4357
Burk376	H281DRAFT_05152	2218	3573	2876.8333333333335	1355	0	0	False	False	3050	3003	2639	2218	2778	3573
DvH	207719	2421	3884	3106.5	1463	0	0	False	False	3050	2967	3884	2869	3448	2421
ANA3	7024847	2508	3522	2980.0	1014	0	0	False	False	3050	2632	3390	3522	2778	2508
SB2B	6936672	2527	4108	3112.6666666666665	1581	0	0	False	False	3050	2863	3353	2527	4108	2775
Smeli	SMc03989	2315	3841	3239.0	1526	0	0	False	False	3050	2781	3841	3657	3790	2315
azobra	AZOBR_RS07690	2421	3891	2996.0	1470	0	0	False	False	3050	2967	3891	2869	2778	2421
Burk376	H281DRAFT_04644	2218	3573	2876.8333333333335	1355	0	0	False	False	3050	3003	2639	2218	2778	3573
Burk376	H281DRAFT_02103	2015	4357	3047.8333333333335	2342	0	0	False	False	3050	3119	2015	2979	2767	4357
SB2B	6937423	2838	4098	3154.1666666666665	1260	0	0	False	False	3050	2923	3058	2838	4098	2958
Miya	8499784	2015	4357	3047.8333333333335	2342	0	0	False	False	3050	3119	2015	2979	2767	4357
RalstoniaUW163	UW163_RS24890	2015	4357	3047.8333333333335	2342	0	0	False	False	3050	3119	2015	2979	2767	4357
Smeli	SMc00651	2315	3841	3239.0	1526	0	0	False	False	3050	2781	3841	3657	3790	2315
